"year","cc","share_for_maj","share_aut","share_dem","state_dummy","state_percent","number_comp","country_text_id","v2x_regime","v2x_polyarchy","v2clkill","v2cltrnslw","v2x_execorr","v2x_ex_military","v2x_ex_hereditary","v2exl_legitperf","v2smgovfilcap","v2smgovfilprc","v2smgovshutcap","v2smgovshut","v2smgovsm","v2smgovsmmon","v2smgovsmcenprc","v2smgovshut_ord","v2smgovfilprc_ord","e_pt_coup","v2clkill_inv","PTS_A","PTS_H","PTS_S","theta_mean","theta_sd","killing_estimate_mean","killing_estimate_median","theta_mean_inv","nat_resources","gdppc","gdppc_growth","pop_total","pop_rural","trade","penetration","no_protests","no_riots","no_vio_against_civ","no_fatalities","pci_score","PTS_S_before","PTS_S_before2","theta_mean_inv_before","theta_mean_inv_before2","v2clkill_before","v2clkill_before2"
2000,"ANG",0,0,0,1,1,1,"AGO",0,0.158,-1.289,-1.057,0.882,0.333,0,-0.056,-0.031,0.922,0.148,0.335,0.617,-0.385,1.153,4,3,0,1.289,4,NA,5,-1.77954212774968,0.178755051541156,102.653333333333,64,7.11572428144537,59.1425103628059,556.884243549684,-0.234945632722756,16394062,8182768,NA,0.105045562,2,0,18,3971,17,NA,NA,NA,NA,NA,NA
2000,"BEN",0.666666666666667,0.666666666666667,0,1,0.333333333333333,3,"BEN",2,0.612,1.565,1.386,0.681,0.214,0,0.997,-0.176,2.235,1.776,2.067,1.997,0.643,1.874,4,4,0,-1.565,NA,NA,2,1.25964608854803,0.235501688172038,0,0,4.07653606514766,3.26095148548745,502.997981069672,2.68964737900177,6998023,4315471,47.3481515012844,0.225247851,0,1,0,1,NA,NA,NA,NA,NA,NA,NA
2000,"BFO",0.5,0.5,0,1,0.5,2,"BFA",2,0.518,0.298,2.098,0.473,0.4,0,0.188,1.316,0.348,1.452,-1.279,0.645,-0.604,-0.176,2,3,0,-0.298,2,NA,2,0.298633964267277,0.219660995273106,0,0,5.03754818942842,5.33460866542021,249.802075690488,-1.10685082808791,11882888,9762505,35.1229419704263,0.077080169,4,13,0,1,30,NA,NA,NA,NA,NA,NA
2000,"BOT",0.333333333333333,0,0.333333333333333,1,0.666666666666667,3,"BWA",3,0.707,1.952,1.564,0.175,0.1,0,1.124,0.575,1.932,-0.415,0.834,1.016,1.476,1.929,4,4,0,-1.952,NA,NA,1,1.66047196284506,0.268156558794459,0,0,3.67571019085063,2.37714702277095,3351.6965168531,-0.104457890944872,1726985,807901,91.924729689918,2.902666622,0,0,0,0,60,NA,NA,NA,NA,NA,NA
2000,"BUI",0.666666666666667,0.666666666666667,0,1,0.333333333333333,3,"BDI",0,0.191,-1.456,0.18,0.403,0.833,0,-1.846,-1.652,0.031,-1.907,0.56,-1.293,-0.597,-0.522,4,3,0,1.456,4,NA,5,-2.04452129523463,0.130496986786592,368.059333333333,339,7.38070344893032,15.0609351884312,138.004617225366,-2.86056587976486,6307659,5787529,22.5537244890286,0.077248447,5,0,9,3891,NA,NA,NA,NA,NA,NA,NA
2000,"CAO",0.666666666666667,0,0.666666666666667,1,0.333333333333333,3,"CMR",1,0.307,0.841,-0.006,0.926,0.357,0,1.047,0.51,1.017,0.416,0.254,0.267,-0.464,-0.84,4,3,0,-0.841,4,NA,4,-1.16546152770221,0.188104819947169,0.439333333333333,0,6.5016436813979,8.33574817486337,700.16323623489,1.13112675064183,15091594,8218580,47.9279442460149,0.252120078,1,0,0,16,20,NA,NA,NA,NA,NA,NA
2000,"CDI",1,0.25,0.75,0,0,4,"CIV",1,0.274,0.179,0.861,0.637,0.375,0,0.085,1.109,0.666,0.981,1.768,1.542,-0.402,1.292,4,3,0,-0.179,3,NA,4,-1.79852701589033,0.12261345219887,86.9773333333333,82.5,7.13470916958602,2.86211491053466,986.777352839567,-2.959710897695,16799670,9549772,54.9639916295152,0.231461671,4,2,28,260,27,NA,NA,NA,NA,NA,NA
2000,"CEN",0.5,0.5,0,1,0.5,2,"CAF",1,0.34,-0.844,0.521,0.761,0.4,0,0.944,-1.28,0.942,0.611,0.843,1.749,1.699,1.181,4,3,0,0.844,NA,NA,2,-0.186152234357432,0.284611641598977,0,0,5.52233438805313,11.1834541155259,243.877580075298,-5.18220026360443,3759170,2344256,45.6597819937269,0.053394174,1,2,1,9,NA,NA,NA,NA,NA,NA,NA
2000,"CHA",0.333333333333333,0,0.333333333333333,1,0.666666666666667,3,"TCD",1,0.283,-1.405,-1.108,0.97,0.1,0,-1.208,-0.367,-0.588,1.157,-1.004,-0.847,-0.253,-0.726,3,2,0,1.405,3,NA,4,-1.31133161771352,0.1787883984384,1.55666666666667,0,6.64751377140922,10.5734977135563,168.117658247775,-4.20701536982699,8259137,6472108,51.5711720135652,0.035707076,0,0,1,560,NA,NA,NA,NA,NA,NA,NA
2000,"CON",0.666666666666667,0.333333333333333,0.333333333333333,1,0.333333333333333,3,"COG",0,0.161,-1.458,-0.889,0.847,0.8,0,-1.585,1.597,-1.196,0.858,-0.801,-1.096,-0.541,-1.203,3,2,0,1.458,5,NA,3,-1.35454339002633,0.220457198801201,5.64933333333333,0,6.69072554372203,59.6838725227388,1029.96068881894,3.54720581589751,3134030,1294511,123.909884405671,0.026354732,0,0,1,96,NA,NA,NA,NA,NA,NA,NA
